Product UPC,Product,NACS CATEGORY,NACS SUBCATEGORY,BRAND,COMPANY,NACS Category Code,NACS Subcategory Code
0000150000035,SIERRA NEVADA SEASONAL SHORT NECK BOTTLE,BEER,MICRO,SIERRA NEVADA SEASONAL,SIERRA NEVADA BREWING CO,04-00-00,04-06-00
0000340100095,FLAVORED BREAD BANANA 6.6 OUNCE,PACKAGED BREAD,PACKAGED BREADS,NO BRAND LISTED,NO COMPANY LISTED,14-00-00,14-00-00
0000450204430,ZYRTEC ALRGY COUGH COLD SINUS AND ALLRG,HEALTH BEAUTY CARE,COUGH COLD REMEDIES,ZYRTEC,MCNEIL CONSUMER HEALTHCARE,21-00-00,21-02-00
0000450449053,TYLNL CPLT XTRA STREN BTTL IN BOX PAIN R,HEALTH BEAUTY CARE,ANALGESICS,TYLENOL,MCNEIL CONSUMER HEALTHCARE,21-00-00,21-01-00
0000610007048,ARIVA ANTSM PRDCT 10 COUNT,HEALTH BEAUTY CARE,SMOKING CESSATION,ARIVA,STAR TOBACCO INC,21-00-00,21-14-00
0000630135615,TOO TARTS SUCK UPS BLU BEWWY LIQ NNCHC L,CANDY,NOVELTIES SEASONAL,TOO TARTS SUCK UPS,INNOVATIVE CANDY CONCEPTS,08-00-00,08-06-00
0000630135899,TOO TARTS BLU BEWWY LIQ NNCHC LQD CANDY,CANDY,NOVELTIES SEASONAL,TOO TARTS,INNOVATIVE CANDY CONCEPTS,08-00-00,08-06-00
0000630137343,TOO TARTS ITS GOO 4 YOU NNCHC LQD CANDY,CANDY,NOVELTIES SEASONAL,TOO TARTS,INNOVATIVE CANDY CONCEPTS,08-00-00,08-06-00
0000710100021,BLYS CGRTT 20 COUNT,CIGARETTES,FOURTH TIER,BAILEY S,S M BRANDS INC.,02-00-00,02-05-00
0000710100038,BLYS CGRTT 20 COUNT,CIGARETTES,FOURTH TIER,BAILEY S,S M BRANDS INC.,02-00-00,02-05-00
0000710100045,BLYS CGRTT 20 COUNT,CIGARETTES,FOURTH TIER,BAILEY S,S M BRANDS INC.,02-00-00,02-05-00
0000710100052,BLYS CGRTT 20 COUNT,CIGARETTES,FOURTH TIER,BAILEY S,S M BRANDS INC.,02-00-00,02-05-00
0000710100069,BLYS CGRTT 20 COUNT,CIGARETTES,FOURTH TIER,BAILEY S,S M BRANDS INC.,02-00-00,02-05-00
0000710100083,BLYS CGRTT 20 COUNT,CIGARETTES,FOURTH TIER,BAILEY S,S M BRANDS INC.,02-00-00,02-05-00
0000710100090,BLYS CGRTT 20 COUNT,CIGARETTES,FOURTH TIER,BAILEY S,S M BRANDS INC.,02-00-00,02-05-00
0000710100106,BLYS CGRTT 20 COUNT,CIGARETTES,FOURTH TIER,BAILEY S,S M BRANDS INC.,02-00-00,02-05-00
0000710100113,BLYS CGRTT 20 COUNT,CIGARETTES,FOURTH TIER,BAILEY S,S M BRANDS INC.,02-00-00,02-05-00
0000710100120,BLYS CGRTT 20 COUNT,CIGARETTES,FOURTH TIER,BAILEY S,S M BRANDS INC.,02-00-00,02-05-00
0000710101028,BLYS CGRTT 10PK 200 COUNT,CIGARETTES,FOURTH TIER,BAILEY S,S M BRANDS INC.,02-00-00,02-05-00
0000710101035,BLYS CGRTT 10PK 200 COUNT,CIGARETTES,FOURTH TIER,BAILEY S,S M BRANDS INC.,02-00-00,02-05-00
0000710101042,BLYS CGRTT 10PK 200 COUNT,CIGARETTES,FOURTH TIER,BAILEY S,S M BRANDS INC.,02-00-00,02-05-00
0000710101059,BLYS CGRTT 10PK 200 COUNT,CIGARETTES,FOURTH TIER,BAILEY S,S M BRANDS INC.,02-00-00,02-05-00
0000710101066,BLYS CGRTT 10PK 200 COUNT,CIGARETTES,FOURTH TIER,BAILEY S,S M BRANDS INC.,02-00-00,02-05-00
0000710101080,BLYS CGRTT 10PK 200 COUNT,CIGARETTES,FOURTH TIER,BAILEY S,S M BRANDS INC.,02-00-00,02-05-00
0000710101097,BLYS CGRTT 10PK 200 COUNT,CIGARETTES,FOURTH TIER,BAILEY S,S M BRANDS INC.,02-00-00,02-05-00
0000710101103,BLYS CGRTT 10PK 200 COUNT,CIGARETTES,FOURTH TIER,BAILEY S,S M BRANDS INC.,02-00-00,02-05-00
0000710101110,BLYS CGRTT 10PK 200 COUNT,CIGARETTES,FOURTH TIER,BAILEY S,S M BRANDS INC.,02-00-00,02-05-00
0000710101127,BLYS CGRTT 10PK 200 COUNT,CIGARETTES,FOURTH TIER,BAILEY S,S M BRANDS INC.,02-00-00,02-05-00
0000710840132,BNDRY ALRGY RLF 24 COUNT,HEALTH BEAUTY CARE,COUGH COLD REMEDIES,BENADRYL,J J CONSUMER PRODUCTS INC,21-00-00,21-02-00
0000774003481,OCN PTN SPORT SUNSCRN 1.5 FLUID OUNCE,HEALTH BEAUTY CARE,OTHER HBC,OCEAN POTION,KIK INTERNATIONAL,21-00-00,21-12-00
0000774301402,OCN PTN SUNSCRN 3 FLUID OUNCE,HEALTH BEAUTY CARE,OTHER HBC,OCEAN POTION,KIK INTERNATIONAL,21-00-00,21-12-00
0000774301457,OCN PTN SUNSCRN 3 FLUID OUNCE,HEALTH BEAUTY CARE,OTHER HBC,OCEAN POTION,KIK INTERNATIONAL,21-00-00,21-12-00
0000774301464,OCN PTN SPORT SUNSCRN 3 FLUID OUNCE,HEALTH BEAUTY CARE,OTHER HBC,OCEAN POTION,KIK INTERNATIONAL,21-00-00,21-12-00
0000774301471,OCN PTN SUNSCRN 3 FLUID OUNCE,HEALTH BEAUTY CARE,OTHER HBC,OCEAN POTION,KIK INTERNATIONAL,21-00-00,21-12-00
0000790110019,EMJZ EMOJI 17 PIECE GUMMI CANDY 3.5 OUNC,CANDY,NOVELTIES SEASONAL,EMOJEEZ,HEALTHY FOOD BRANDS,08-00-00,08-06-00
0000790110033,EMJZ EMOJI 17 PIECE GUMMI CANDY 3.5 OUNC,CANDY,NOVELTIES SEASONAL,EMOJEEZ,HEALTHY FOOD BRANDS,08-00-00,08-06-00
0000790400301,WLCHS APL FRZ DRD SLICE A NTRLL FAT FREE,EDIBLE GROCERY,OTHER EDIBLE GROCERY,WELCH S,HEALTHY FOOD BRANDS,19-00-00,19-04-00
0000790400349,WELCHS MANGO FREEZE DRIED SLICE BAG DRD,EDIBLE GROCERY,OTHER EDIBLE GROCERY,WELCH S,HEALTHY FOOD BRANDS,19-00-00,19-04-00
0000790410119,WLCHS BLBRR CRNBR MANGO TRPL FRUIT TREAT,EDIBLE GROCERY,OTHER EDIBLE GROCERY,WELCH S,HEALTHY FOOD BRANDS,19-00-00,19-04-00
0000790410126,WELCHS APPLE HONEY PIECE BAG DRIED FRUIT,EDIBLE GROCERY,OTHER EDIBLE GROCERY,WELCH S,HEALTHY FOOD BRANDS,19-00-00,19-04-00
0000790430018,WLCHS PB AND J GRAPE FMLY FRMR OWNED BAG,ALTERNATIVE SNACKS,OTHER ALTERNATIVE SNACKS,WELCH S,HEALTHY FOOD BRANDS,17-00-00,17-04-00
0000799440124,XENON ENTERTAINMENT GROUP 1 COUNT,GENERAL MERCHANDISE,VIDEO AUDIO TAPES,XENON ENTERTAINMENT GROUP,XENON ENTERTAINMENT GROUP,22-00-00,22-09-00
0000850756058,AFRIN NASAL SPRY .5 FLUID OUNCE,HEALTH BEAUTY CARE,OTHER INTERNAL OTC MEDICATIONS,AFRIN,BAYER CORPORATION,21-00-00,21-05-00
0000861040672,CRND MILK CRML POP 3 PIECE LLLPP 4.9 OUN,CANDY,NOVELTIES SEASONAL,CORONADO,BIMBO BAKERIES U.S.A. INC.,08-00-00,08-06-00
0008274000511,REEDS LQD HRBL TEA 13.5 FLUID OUNCE,PACKAGED BEVERAGES,ICED TEA READY TO DRINK,REED S,REED S INC,07-00-00,07-02-00
0008274000528,REEDS LQD HRBL TEA 13.5 FLUID OUNCE,PACKAGED BEVERAGES,ICED TEA READY TO DRINK,REED S,REED S INC,07-00-00,07-02-00
0008274000542,REEDS GOJI GNGR OLNG BTTL GLASS LQD HRBL,PACKAGED BEVERAGES,ICED TEA READY TO DRINK,REED S,REED S INC,07-00-00,07-02-00
0008346500017,SLIM FAST CRMY MILK CHOC BTTL DIETING CO,HEALTH BEAUTY CARE,VITAMINS SUPPLEMENTS,SLIM FAST,SLIM FAST FOODS COMPANY,21-00-00,21-04-00
0008421361700,TY BLLRN BLLRN BUNNY TWNKL BUNNY TWNKL P,NON EDIBLE GROCERY,PET CARE,TY,TY INC,20-00-00,20-05-00
0008421371785,UNKNOWN,PENDING FOR ASSIGNMENT,PENDING FOR ASSIGNMENT,UNKNOWN,UNKNOWN,00-00-00,00-00-00
0008562000261,SONY ALKALINE CARDED BATTERIES BATTERY 2,GENERAL MERCHANDISE,BATTERIES,SONY,SONY CORP OF AMERICA,22-00-00,22-02-00
0008562000278,SONY ALL PURPOSE ALKLN CRDD NNRCH BTTRS,GENERAL MERCHANDISE,BATTERIES,SONY,SONY CORP OF AMERICA,22-00-00,22-02-00
0008562000285,SONY HIGH PERF 1.5 VOLT ALKLN CRDD AA BT,GENERAL MERCHANDISE,BATTERIES,SONY,SONY CORP OF AMERICA,22-00-00,22-02-00
0008562000308,SONY 9 VOLT LNGR LSTNG ALKLN CRDD BTTRS,GENERAL MERCHANDISE,BATTERIES,SONY,SONY CORP OF AMERICA,22-00-00,22-02-00
0008562000575,SONY ALKALINE CARDED AAA BATTERIES BATTE,GENERAL MERCHANDISE,BATTERIES,SONY,SONY CORP OF AMERICA,22-00-00,22-02-00
0008563888707,PPPS CCNT MCRN BLGN QLTY CKY 1.4 OUNCE,PACKAGED SWEET SNACKS,COOKIES,POPPIES,POPPIES INTERNATIONAL N.V.,16-00-00,16-03-00
0008660000019,ZIG ZAG CIGARETTE PAPER 32 COUNT,OTHER TOBACCO PRODUCTS,PAPERS,ZIG ZAG,NORTH ATLANTIC OPERATING INC,03-00-00,03-03-00
0008660000026,ZIG ZAG SLOW BURNING 1 1 4 CIGARETTE PAP,OTHER TOBACCO PRODUCTS,PAPERS,ZIG ZAG,NORTH ATLANTIC OPERATING INC,03-00-00,03-03-00
0008660000033,ZIG ZAG 1 1 2 CIGARETTE PAPER 32 COUNT,OTHER TOBACCO PRODUCTS,PAPERS,ZIG ZAG,NORTH ATLANTIC OPERATING INC,03-00-00,03-03-00
0008660000040,ZIG ZAG SLOW BRNNG CGRTT PAPER 32 COUNT,OTHER TOBACCO PRODUCTS,PAPERS,ZIG ZAG,NORTH ATLANTIC OPERATING INC,03-00-00,03-03-00
0008660000071,ZIG ZAG KING GUMMED CIGARETTE PAPER 32 C,OTHER TOBACCO PRODUCTS,PAPERS,ZIG ZAG,NORTH ATLANTIC OPERATING INC,03-00-00,03-03-00
0008660007322,ZIG ZAG 1 1 4 CIGARETTE PAPER 32 COUNT,OTHER TOBACCO PRODUCTS,PAPERS,ZIG ZAG,NORTH ATLANTIC OPERATING INC,03-00-00,03-03-00
0008660007827,ZIG ZAG LIGHTS 1 1 4 GUMMED CIGARETTE PA,OTHER TOBACCO PRODUCTS,PAPERS,ZIG ZAG,NORTH ATLANTIC OPERATING INC,03-00-00,03-03-00
0008660007872,ZIG ZAG LIGHTS GUMMED CIGARETTE PAPER 32,OTHER TOBACCO PRODUCTS,PAPERS,ZIG ZAG,NORTH ATLANTIC OPERATING INC,03-00-00,03-03-00
0008660097354,ZIG ZAG 1 1 2 CIGARETTE PAPER 32 COUNT,OTHER TOBACCO PRODUCTS,PAPERS,ZIG ZAG,NORTH ATLANTIC OPERATING INC,03-00-00,03-03-00
0008711601431,UV BLUE RSPBR 30 PERCENT BTTL VODKA 50 M,LIQUOR,DISTILLED SPIRITS,UV,PHILLIPS DISTILLING COMPANY,06-00-00,06-01-00
0008810000036,LINDT BEAR WRAP MILK CHOC CANDY CHOC NVL,CANDY,NOVELTIES SEASONAL,LINDT,"LINDT SPRUNGLI USA , INC.",08-00-00,08-06-00
0008810000050,LINDT LNDR TRFFL CHOC COVER PIECE .42 OU,CANDY,NOVELTIES SEASONAL,LINDT LINDOR,"LINDT SPRUNGLI USA , INC.",08-00-00,08-06-00
0008810000074,LINDT LINDOR WRAP MILK CHOC CANDY CHOC P,CANDY,NOVELTIES SEASONAL,LINDT LINDOR,"LINDT SPRUNGLI USA , INC.",08-00-00,08-06-00
0009060000029,THE FRGN CANDY STRWB RIP ROLLS SOFT CHEW,CANDY,BAGGED OR REPACKED PEG CANDY,THE FOREIGN CANDY,THE FOREIGN CANDY COMPANY INC,08-00-00,08-05-00
0009060000081,THE FRGN CANDY RNBW RCTN SOFT CHEWY CAND,CANDY,NON CHOCOLATE BARS PACKS,THE FOREIGN CANDY,THE FOREIGN CANDY COMPANY INC,08-00-00,08-04-00
0009114203000,TR CAIR EXHST FLUID 128 FLUID OUNCE,AUTOMOTIVE PRODUCTS,OTHER ADDITIVES,TR CAIR,ZECOL INC,24-00-00,24-05-00
0009114250004,TR CAIR EXHST FLUID 320 FLUID OUNCE,AUTOMOTIVE PRODUCTS,OTHER ADDITIVES,TR CAIR,ZECOL INC,24-00-00,24-05-00
